Date,Time,Relative_time,Temperature,Resonance_Frequency,Dissipation
2021-07-05,15:33:16,47.12,28.02,14852930.08,2.9151304114476206e-05
2021-07-05,15:33:16,47.72,28.02,14852930.04,2.9152757830297276e-05
2021-07-05,15:33:17,48.37,28.02,14852930.0,2.91538165741513e-05
2021-07-05,15:33:18,49.19,28.02,14852929.96,2.9154315131611025e-05
2021-07-05,15:33:18,49.81,28.02,14852929.92,2.9153778584511316e-05
2021-07-05,15:33:19,50.44,28.02,14852929.85,2.915409534527192e-05
2021-07-05,15:33:19,51.06,28.02,14852929.81,2.915424719076702e-05
2021-07-05,15:33:20,51.86,28.02,14852929.75,2.91557827227655e-05
2021-07-05,15:33:21,52.49,28.02,14852929.7,2.9157027444263522e-05
2021-07-05,15:33:22,53.12,28.02,14852929.65,2.9156311821280063e-05
2021-07-05,15:33:22,53.74,28.02,14852929.62,2.9155466354113033e-05
2021-07-05,15:33:23,54.36,28.02,14852929.58,2.915557646091029e-05
2021-07-05,15:33:24,55.2,28.02,14852929.54,2.9155213904073898e-05
2021-07-05,15:33:24,55.82,28.02,14852929.47,2.91558710696621e-05
2021-07-05,15:33:25,56.43,28.02,14852929.42,2.9155763309178364e-05
2021-07-05,15:33:25,57.06,28.02,14852929.36,2.915705120847338e-05
2021-07-05,15:33:26,57.67,28.02,14852929.3,2.9158294230785635e-05
2021-07-05,15:33:27,58.49,28.02,14852929.25,2.916044398029563e-05
2021-07-05,15:33:28,59.12,28.02,14852929.18,2.9161786840068735e-05
2021-07-05,15:33:28,59.75,28.02,14852929.14,2.9161213742179667e-05
2021-07-05,15:33:29,60.38,28.02,14852929.1,2.916199325213093e-05
2021-07-05,15:33:29,61.0,28.02,14852929.06,2.916258867703476e-05
2021-07-05,15:33:30,61.82,28.02,14852929.02,2.916306540914567e-05
2021-07-05,15:33:31,62.44,28.02,14852928.95,2.916444330885556e-05
2021-07-05,15:33:31,63.04,28.02,14852928.91,2.9164351754448842e-05
2021-07-05,15:33:32,63.68,28.02,14852928.88,2.9165235962683393e-05
2021-07-05,15:33:33,64.32,28.03,14852928.84,2.9166879545415234e-05
2021-07-05,15:33:34,65.14,28.03,14852928.8,2.916655010328804e-05
2021-07-05,15:33:34,65.75,28.03,14852928.73,2.91681514893909e-05
2021-07-05,15:33:35,66.36,28.03,14852928.69,2.9168037536921504e-05
2021-07-05,15:33:35,66.99,28.03,14852928.66,2.9168416086384127e-05
2021-07-05,15:33:36,67.81,28.03,14852928.6,2.9169986922603728e-05
2021-07-05,15:33:37,68.43,28.03,14852928.56,2.9170142210897067e-05
2021-07-05,15:33:37,69.04,28.03,14852928.51,2.917011245033431e-05
2021-07-05,15:33:38,69.66,28.03,14852928.48,2.917013714233727e-05
2021-07-05,15:33:39,70.29,28.03,14852928.42,2.9171655771920404e-05
2021-07-05,15:33:40,71.12,28.03,14852928.38,2.9171065785669324e-05
2021-07-05,15:33:40,71.75,28.03,14852928.33,2.9172589518497326e-05
2021-07-05,15:33:41,72.37,28.03,14852928.26,2.9173211712229755e-05
2021-07-05,15:33:41,72.99,28.03,14852928.22,2.9172950091511268e-05
2021-07-05,15:33:42,73.62,28.03,14852928.18,2.9173366412328915e-05
2021-07-05,15:33:43,74.44,28.03,14852928.14,2.917372126699529e-05
2021-07-05,15:33:43,75.07,28.03,14852928.1,2.917467221623508e-05
2021-07-05,15:33:44,75.68,28.03,14852928.06,2.9174292297799316e-05
2021-07-05,15:33:45,76.31,28.03,14852928.02,2.9174820777511006e-05
2021-07-05,15:33:46,77.11,28.03,14852927.98,2.9175304894448628e-05
2021-07-05,15:33:46,77.74,28.03,14852927.94,2.9176176349660152e-05
2021-07-05,15:33:47,78.35,28.03,14852927.9,2.9177200656653008e-05
2021-07-05,15:33:47,78.98,28.03,14852927.86,2.9177577441036615e-05
2021-07-05,15:33:48,79.6,28.03,14852927.82,2.9178507952011054e-05
2021-07-05,15:33:49,80.43,28.03,14852927.78,2.9177852384417524e-05
2021-07-05,15:33:49,81.06,28.03,14852927.74,2.9177816874551195e-05
2021-07-05,15:33:50,81.68,28.03,14852927.67,2.9178227045318565e-05
