Time,Relative_time,fundamental_freq,fundamental_dis,3rd_freq,3rd_dis,5th_freq,5th_dis,7th_freq,7th_dis,9th_freq,9th_dis
8:29:48,138.047,-83.50229214783758,5.705432563510413e-05,-42.51870862208307,0.0001804738008083142,-50.418613163754344,2.5874485565820574e-05,-50.3177928077057,0.00010677378637413346,-45.9242795733735,0.00023137660739030053
8:29:48,138.048,-83.50229214783758,5.705432563510413e-05,-42.51870862208307,0.0001804738008083142,-50.418613163754344,2.5874485565820574e-05,-50.3177928077057,0.00010677378637413346,-45.9242795733735,0.00023137660739030053
8:29:49,139.046,-82.3922921475023,5.655132563510412e-05,-42.34537528920919,0.00017971380080831437,-49.918613163754344,2.848148556582053e-05,-49.999221379868686,0.00010438078637413362,-45.482057351619005,0.00022640260739030006
8:29:51,140.295,-81.33229214791209,5.633132563510413e-05,-41.79537528939545,0.0001782078008083143,-49.264613162726164,3.1528485565820476e-05,-49.62922137975693,0.00010047378637413357,-45.34650179557502,0.0002165626073903004
8:29:52,141.547,-80.52229214739054,5.584932563510413e-05,-41.19870862271637,0.00017759380080831482,-48.61861316394061,3.486148556581994e-05,-49.18636423628777,9.819378637413324e-05,-45.43872401770204,0.00021504260739029987
8:29:53,142.801,-79.40229214727879,5.549432563510407e-05,-40.952041955664754,0.00017593380080831427,-47.98261316400021,3.628148556582018e-05,-48.276364237070084,0.0001025807863741339,-44.74983512889594,0.00020910260739030045
8:29:54,144.055,-78.29229214787483,5.51313256351041e-05,-40.408708622679114,0.00017414780080831412,-47.20061316341162,3.939448556582008e-05,-47.49779280740768,0.00010200778637413366,-44.80205735191703,0.0002006166073903002
8:29:56,145.352,-77.32229214720428,5.481932563510417e-05,-39.96870862226933,0.00017134780080831427,-46.65061316359788,4.234148556582062e-05,-47.06207852251828,0.00010286778637413375,-44.78872401826084,0.0001945226073903003
8:29:57,146.805,-76.0622921474278,5.447732563510421e-05,-39.582041955552995,0.00016890780080831488,-45.940613163635135,4.507448556582017e-05,-46.387792808003724,9.595378637413353e-05,-43.95427957363427,0.00019124260739029984
8:29:58,148.049,-74.79229214787483,5.4222325635104205e-05,-38.93870862200856,0.00016679380080831478,-44.97861316334456,4.908148556582049e-05,-45.66493566520512,9.752078637413359e-05,-43.378724018111825,0.00018532960739030008
8:30:00,149.304,-73.79229214787483,5.392132563510413e-05,-38.23537528887391,0.0001650408008083146,-44.30061316397041,5.1188485565819945e-05,-45.78493566531688,9.160078637413319e-05,-43.130946239456534,0.00017766260739029982
8:30:01,150.552,-72.40229214727879,5.3455325635104163e-05,-37.65204195585102,0.00016368780080831466,-43.06861316412687,5.6254485565820564e-05,-45.41922137979418,8.444778637413386e-05,-42.98539068456739,0.00016868260739030024
8:30:02,151.801,-71.18229214753956,5.315132563510415e-05,-36.96204195544124,0.00016147380080831428,-42.28061316348612,5.7501485565819924e-05,-44.756364236585796,8.320078637413363e-05,-42.71205735113472,0.00016026260739029994
8:30:03,153.056,-70.22229214757681,5.2809325635104183e-05,-35.81204195600003,0.00016282080080831478,-41.72061316296458,5.902148556582044e-05,-44.47779280785471,7.98807863741334e-05,-42.25761290639639,0.00015737660739030025
8:30:05,154.296,-68.96229214780033,5.237232563510413e-05,-35.01537528913468,0.00016175380080831435,-41.07861316297203,5.8854485565820736e-05,-43.78350709378719,8.024078637413386e-05,-41.70316846296191,0.0001495296073903002
8:30:06,155.551,-67.71229214780033,5.200232563510416e-05,-34.19204195588827,0.0001604008008083144,-40.45061316341162,5.9108485565820615e-05,-42.71779280900955,7.998078637413367e-05,-41.07539068441838,0.00014960260739029993
8:30:07,156.791,-66.83229214791209,5.175432563510416e-05,-33.552041955292225,0.00015982780080831416,-39.926613163203,5.891448556582038e-05,-42.084935665130615,7.861378637413329e-05,-40.89316846244037,0.00013914260739030047
8:30:08,158.126,-65.92229214776307,5.159532563510415e-05,-32.79204195551574,0.00015912780080831485,-39.42261316347867,5.940148556582078e-05,-42.11493566446006,7.270078637413354e-05,-40.34983512945473,0.00013598960739029994
8:30:10,159.376,-65.28229214716703,5.145132563510427e-05,-31.772041955962777,0.00015752080080831416,-38.66261316370219,5.7888485565820054e-05,-41.484935665503144,7.060778637413365e-05,-39.49983512889594,0.00013958960739030024
8:30:11,160.814,-64.24229214712977,5.1248325635104217e-05,-31.215375289320946,0.00015581380080831406,-37.96861316356808,5.643448556582036e-05,-40.84779280796647,6.895378637413341e-05,-38.46427957341075,0.00013956960739030036
8:30:12,162.059,-63.03229214716703,5.102432563510416e-05,-29.95870862249285,0.00015461380080831425,-36.5286131631583,5.7541485565820553e-05,-39.55350709334016,6.893378637413353e-05,-37.40983512904495,0.00013964960739029988
8:30:14,163.314,-62.03229214716703,5.065432563510419e-05,-28.918708622455597,0.0001537738008083149,-35.160613163374364,6.0028485565820355e-05,-38.519221380352974,6.353378637413351e-05,-36.987612906843424,0.00013348260739030025
8:30:15,164.572,-60.59229214768857,5.034832563510414e-05,-28.56204195600003,0.00014944080080831444,-34.260613163001835,6.208148556582048e-05,-37.55779280792922,6.428078637413324e-05,-36.16539068426937,0.00013208960739030055
8:30:16,165.809,-59.5622921474278,5.006432563510422e-05,-27.69204195588827,0.00014634080080831464,-33.11061316356063,6.35344855658207e-05,-36.28207852225751,6.100778637413342e-05,-35.01650179643184,0.00013518260739030057
8:30:17,167.062,-58.72229214757681,4.990332563510418e-05,-26.83870862238109,0.00014330780080831426,-32.048613163642585,6.532148556582032e-05,-35.167792808264494,5.633378637413377e-05,-34.028724018484354,0.0001392826073903005
8:30:19,168.318,-58.00229214783758,4.978732563510409e-05,-25.95870862249285,0.0001422538008083148,-31.570613163523376,6.385448556582053e-05,-34.75493566505611,5.4853786374133885e-05,-33.60539068467915,0.00013596260739030027
8:30:20,169.558,-57.462292147800326,4.962032563510417e-05,-24.995375288650393,0.00014184780080831426,-30.754613163881004,6.856848556581994e-05,-34.11636423692107,5.522778637413392e-05,-33.41761290747672,0.00013451660739029984
8:30:21,170.812,-57.00229214783758,4.949632563510417e-05,-24.388708622194827,0.0001407078008083141,-29.95461316406727,7.418148556582061e-05,-33.294935666024685,5.5660786374133256e-05,-33.08983512874693,0.00012993660739030015
8:30:22,172.069,-56.5622921474278,4.944232563510419e-05,-23.672041956335306,0.0001398608008083141,-29.228613163344562,7.794848556582062e-05,-32.96636423654854,4.9233786374133434e-05,-32.63316846266389,0.00012392960739030043
8:30:24,173.37,-56.03229214716703,4.93543256351041e-05,-23.07870862260461,0.00013876080080831455,-28.76261316332966,7.923448556582027e-05,-32.256364236585796,5.161378637413318e-05,-32.202057351358235,0.00012272260739029997
8:30:25,174.626,-55.53229214716703,4.925532563510417e-05,-22.585375288501382,0.00013703380080831457,-28.066613163799047,8.312848556582021e-05,-31.566364237107337,5.331378637413349e-05,-31.87983512878418,0.00011784260739030033
8:30:26,176.057,-55.202292148023844,4.900632563510426e-05,-22.02870862185955,0.00013583380080831476,-27.364613163284957,8.714848556582062e-05,-30.906364236027002,5.35537863741338e-05,-31.77427957393229,0.00010924260739030023
8:30:28,177.314,-55.052292147651315,4.9030325635104205e-05,-21.33870862238109,0.00013542780080831422,-26.63661316409707,9.202848556582027e-05,-30.37064995057881,5.6473786374133805e-05,-31.968724017962813,9.521660739029991e-05
8:30:29,178.556,-55.86229214724153,4.8802325635104084e-05,-20.422041956335306,0.00013710080080831487,-26.28261316381395,9.368148556582016e-05,-29.9792213793844,5.618078637413364e-05,-31.723168462514877,8.240260739030003e-05
8:30:30,179.808,-55.62229214794934,4.8757325635104135e-05,-20.13537528924644,0.00013475380080831423,-25.406613163650036,9.921448556582044e-05,-29.66064995061606,5.362778637413388e-05,-31.715390685014427,7.905660739030047e-05
8:30:31,181.065,-55.22229214757681,4.866132563510414e-05,-19.572041955776513,0.0001339138008083149,-24.484613163396716,0.00010373448556582048,-29.107792807742953,5.8127786374133177e-05,-31.470946240238845,7.469660739030035e-05
8:30:33,182.318,-54.62229214794934,4.8829325635104184e-05,-18.945375288836658,0.00013277380080831472,-23.864613163284957,0.00010791448556581994,-28.38064995035529,6.589378637413337e-05,-31.306501796469092,7.178960739030044e-05
