Time_(s)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()
14479.49285	-6.138471616	-6.032102526	-5.232971392	-5.229071717	-5.39777951	6.37E-07	6.30E-07	6.19E-07	6.30E-07	7.93E-07
14480.29491	-6.111938426	-5.809738467	-5.349036789	-5.357609486	-5.227878881	6.80E-07	6.88E-07	6.05E-07	5.00E-07	8.81E-07
14481.09696	-6.113489254	-5.858046518	-5.197557507	-5.391182423	-5.410763022	6.44E-07	6.36E-07	7.14E-07	6.17E-07	7.35E-07
14481.89897	-6.148599481	-5.714199822	-5.206214792	-5.373091213	-5.592647101	6.23E-07	7.45E-07	6.64E-07	7.17E-07	7.61E-07
14482.70099	-6.123634459	-5.844911256	-5.15155612	-5.379788701	-5.388431219	6.13E-07	6.44E-07	6.82E-07	5.84E-07	7.47E-07
14483.50304	-6.22188949	-5.796394749	-5.205535473	-5.371695537	-5.523075229	6.29E-07	7.17E-07	6.46E-07	5.88E-07	7.30E-07
14484.305	-6.126583065	-5.886149606	-5.217048141	-5.35582687	-5.353679186	6.47E-07	6.45E-07	6.27E-07	6.14E-07	8.39E-07
14485.10706	-6.068309477	-5.919706217	-5.248534432	-5.303034975	-5.200876543	6.39E-07	6.32E-07	6.57E-07	6.33E-07	7.84E-07
14485.9091	-6.134854234	-5.932723165	-5.183996123	-5.342290471	-5.271790074	6.09E-07	6.66E-07	5.93E-07	6.85E-07	8.01E-07
14486.71117	-6.129399308	-5.898472857	-5.307811867	-5.455146811	-5.345694265	6.20E-07	6.49E-07	6.59E-07	6.62E-07	7.24E-07
14487.51316	-6.070448982	-5.891930959	-5.246643775	-5.407589667	-5.239056074	6.59E-07	6.45E-07	6.55E-07	5.52E-07	8.67E-07
14488.31517	-6.038285103	-5.977567828	-5.292065547	-5.254863201	-5.250175648	6.41E-07	6.87E-07	6.80E-07	5.88E-07	7.12E-07
14489.1172	-6.09007257	-5.819180812	-5.141584727	-5.311798096	-5.416279441	6.03E-07	6.78E-07	6.79E-07	5.31E-07	7.91E-07
14489.91923	-6.0560634	-5.966939835	-5.206967351	-5.288323284	-5.270014283	6.53E-07	6.72E-07	6.88E-07	6.06E-07	8.47E-07
14490.72133	-6.086762007	-5.832334631	-5.310389752	-5.220047156	-5.444801993	6.49E-07	6.41E-07	7.09E-07	6.22E-07	7.86E-07
14491.52339	-6.126438924	-5.840581837	-5.203742644	-5.531260456	-5.305382443	6.18E-07	6.57E-07	7.19E-07	6.42E-07	7.14E-07
14492.3254	-6.148760776	-5.821085528	-5.249934674	-5.434245438	-5.273043318	6.31E-07	6.81E-07	6.26E-07	6.10E-07	7.85E-07
14493.12742	-6.15787081	-5.855432404	-5.126847319	-5.429460586	-5.258415816	6.65E-07	6.87E-07	6.05E-07	6.37E-07	7.19E-07
14493.92938	-6.147109035	-5.865515156	-5.263952792	-5.581900006	-5.363132915	6.17E-07	6.89E-07	6.10E-07	5.69E-07	7.33E-07
14494.73142	-6.081714292	-5.840942279	-5.172771102	-5.485988294	-5.33799623	6.35E-07	6.95E-07	6.07E-07	5.98E-07	7.61E-07
14495.53344	-6.235837446	-5.92079222	-5.18575202	-5.449958929	-5.060300231	6.33E-07	6.52E-07	6.84E-07	5.85E-07	7.65E-07
14496.33546	-6.137573229	-5.88544108	-5.121107222	-5.516657948	-5.297473332	6.52E-07	6.37E-07	6.48E-07	6.33E-07	9.08E-07
14497.13752	-6.190616674	-5.835180777	-5.192731554	-5.353307483	-5.428886713	6.65E-07	6.80E-07	6.77E-07	6.40E-07	5.93E-07
14497.93955	-6.200492042	-5.908642692	-5.246607925	-5.122595086	-5.355461908	6.30E-07	6.37E-07	6.12E-07	6.20E-07	6.77E-07
14498.74159	-6.149070739	-5.894915818	-5.156146013	-5.432221731	-5.272229025	6.74E-07	6.61E-07	6.20E-07	6.99E-07	8.10E-07
14499.5436	-6.070767975	-5.860819157	-5.198484399	-5.437842797	-5.224965922	6.58E-07	6.16E-07	6.36E-07	6.54E-07	7.00E-07
14500.34564	-6.101700538	-6.029737459	-5.156273747	-5.326043856	-5.566675767	6.61E-07	5.90E-07	6.54E-07	7.91E-07	7.66E-07
14501.1477	-6.137077075	-5.907233084	-5.278769678	-5.266944564	-5.210158099	6.37E-07	6.43E-07	6.54E-07	6.04E-07	7.41E-07
14501.94979	-6.095435227	-5.888245011	-5.132553181	-5.317805823	-5.249322252	6.18E-07	6.89E-07	6.79E-07	6.18E-07	7.47E-07
14502.75184	-6.169091543	-5.824539783	-5.242121376	-5.470706229	-5.238589621	6.54E-07	6.68E-07	6.75E-07	6.72E-07	6.21E-07
14503.55393	-6.025086286	-5.9338329	-5.138432577	-5.292219552	-5.435826373	6.54E-07	6.35E-07	7.13E-07	5.70E-07	7.82E-07
14504.35595	-6.086544694	-5.79978094	-5.246760406	-5.250275654	-5.404418824	6.58E-07	6.65E-07	6.21E-07	5.84E-07	7.26E-07
14505.15798	-6.091812081	-5.985076664	-5.290770111	-5.401656576	-5.278628969	6.27E-07	6.44E-07	6.11E-07	6.67E-07	7.12E-07
14505.96005	-6.153418836	-5.948093722	-5.130930993	-5.332052025	-5.500240452	6.33E-07	6.11E-07	7.03E-07	5.55E-07	7.79E-07
14506.76201	-6.077215021	-5.854690855	-5.170031078	-5.243483534	-5.36167715	6.30E-07	6.43E-07	6.92E-07	5.25E-07	8.67E-07
14507.56398	-6.05927319	-5.772297073	-5.246723652	-5.417394297	-5.295401813	6.53E-07	6.82E-07	6.87E-07	5.99E-07	8.68E-07
14508.36602	-6.056565383	-5.828299325	-5.132505373	-5.474021811	-5.317409162	6.47E-07	6.34E-07	6.36E-07	7.08E-07	7.09E-07
14509.16806	-6.097559294	-5.90573412	-5.200976825	-5.39468658	-5.438279404	6.36E-07	6.29E-07	6.12E-07	5.93E-07	7.87E-07
14509.97009	-6.16299371	-5.9248179	-5.138687935	-5.19846574	-5.294497648	6.68E-07	6.40E-07	6.20E-07	7.31E-07	7.70E-07
14510.77205	-6.131829266	-5.811309274	-5.239275252	-5.214416709	-5.411834195	6.60E-07	6.31E-07	6.28E-07	6.77E-07	7.48E-07
14511.57412	-6.212164005	-5.847765261	-5.303352342	-5.46635361	-5.234817344	6.46E-07	6.58E-07	6.22E-07	5.45E-07	8.37E-07
14512.37612	-6.038325645	-5.794194081	-5.110364417	-5.217032544	-5.559859999	6.34E-07	6.58E-07	6.97E-07	5.17E-07	7.98E-07
14513.17817	-6.148498755	-5.764013659	-5.249187772	-5.497519481	-5.375426361	6.40E-07	6.87E-07	5.98E-07	6.77E-07	7.85E-07
14513.98025	-6.072903808	-5.914606604	-5.165709402	-5.369421466	-5.35145032	6.57E-07	6.50E-07	5.76E-07	6.72E-07	7.66E-07
14514.78225	-6.099700543	-5.846126087	-5.098721202	-5.397126738	-5.213273271	6.46E-07	6.56E-07	6.23E-07	6.04E-07	7.21E-07
14515.58426	-6.239118884	-5.820930199	-5.233854543	-5.178743229	-5.327136827	6.55E-07	6.35E-07	6.79E-07	7.22E-07	7.13E-07
14516.38627	-6.149465059	-5.860178603	-5.250435729	-5.344355689	-5.325627338	6.73E-07	6.36E-07	6.31E-07	6.67E-07	8.43E-07
14517.18829	-6.095854597	-5.906418676	-5.169954556	-5.186303913	-5.327265325	6.56E-07	6.76E-07	6.95E-07	5.72E-07	8.76E-07
14517.99025	-6.084040002	-5.934627222	-5.359907406	-5.281802036	-5.306279888	6.72E-07	6.81E-07	6.80E-07	6.49E-07	8.45E-07
14518.79227	-6.091645899	-5.890406498	-5.13341188	-5.410728173	-5.456545112	6.49E-07	6.45E-07	6.20E-07	6.78E-07	6.40E-07
14519.59438	-6.029485462	-5.853884305	-5.1803319	-5.289350833	-5.415603655	6.79E-07	6.40E-07	6.57E-07	6.08E-07	7.63E-07
14520.39639	-6.146215503	-5.830673406	-5.281437667	-5.293582957	-5.467456567	6.35E-07	6.00E-07	6.46E-07	6.26E-07	7.63E-07
14521.19846	-6.127630189	-5.859524737	-5.230612778	-5.407216254	-5.461047054	6.41E-07	5.93E-07	6.17E-07	5.63E-07	8.73E-07
14522.00045	-6.179151957	-5.945684762	-5.193084882	-5.460900706	-5.453459877	5.95E-07	6.78E-07	5.93E-07	5.51E-07	8.21E-07
14522.80248	-6.087654066	-5.89563336	-5.362866966	-5.245557417	-5.341350859	6.23E-07	6.51E-07	5.95E-07	7.08E-07	7.71E-07
14523.6046	-6.088961686	-5.816819105	-5.10858666	-5.230628808	-5.382354241	6.44E-07	6.81E-07	6.12E-07	6.41E-07	7.44E-07
14524.40662	-6.036741041	-5.867727157	-5.23349704	-5.303901768	-5.372535445	6.33E-07	6.31E-07	6.91E-07	6.36E-07	8.75E-07
14525.20861	-6.113506557	-5.925859839	-5.212394034	-5.103215884	-5.372288304	6.21E-07	6.37E-07	6.62E-07	6.50E-07	7.08E-07
14526.01074	-6.034303577	-5.755313475	-5.170985974	-5.214335668	-5.151234659	6.34E-07	6.62E-07	6.50E-07	5.87E-07	8.67E-07
14526.81276	-6.094348197	-5.857773812	-5.185479977	-5.353617234	-5.362558022	6.45E-07	6.49E-07	7.46E-07	6.48E-07	7.79E-07
14527.61475	-6.118883025	-5.846273814	-5.274459974	-5.172643868	-5.464378146	6.22E-07	6.44E-07	7.00E-07	6.07E-07	6.79E-07
14528.41673	-6.163774206	-5.848964381	-5.060116508	-5.320057519	-5.234364513	6.15E-07	6.55E-07	6.21E-07	6.26E-07	7.31E-07
14529.2188	-6.221099167	-5.871563559	-5.119422566	-5.217391931	-5.394649652	6.20E-07	6.93E-07	6.17E-07	6.75E-07	7.60E-07
14530.02097	-6.179586885	-5.840873816	-5.20354067	-5.306590305	-5.342710469	6.68E-07	6.52E-07	6.90E-07	7.26E-07	7.15E-07
14530.82293	-6.144776915	-5.921369447	-5.244891384	-5.470284104	-5.201748767	6.55E-07	6.45E-07	6.65E-07	6.31E-07	8.22E-07
14531.62493	-6.151495075	-5.817597151	-5.183046759	-5.373932328	-5.327822876	6.92E-07	6.75E-07	6.27E-07	6.20E-07	8.64E-07
14532.42695	-6.142860123	-5.857076763	-5.120711873	-5.348992416	-5.479079091	6.61E-07	6.47E-07	6.61E-07	6.61E-07	7.06E-07
14533.22901	-6.140252413	-5.932851998	-5.138118317	-5.437299599	-5.625490409	6.53E-07	6.24E-07	6.72E-07	6.69E-07	7.62E-07
14534.031	-6.144283143	-5.898048515	-5.230585174	-5.4701437	-5.530794972	6.62E-07	6.62E-07	6.38E-07	6.19E-07	7.24E-07
14534.83293	-6.078949837	-5.852683838	-5.135094534	-5.438464478	-5.576057752	6.53E-07	6.52E-07	6.32E-07	5.91E-07	8.39E-07
14535.63501	-6.047122345	-5.871631969	-5.221313731	-5.221372224	-5.413549106	6.53E-07	6.67E-07	6.01E-07	5.56E-07	6.89E-07
14536.43704	-6.122759521	-5.866318303	-5.268939139	-5.379261221	-5.521718316	6.31E-07	6.46E-07	5.85E-07	6.23E-07	7.29E-07
14537.23907	-6.047768507	-5.831724204	-5.065939359	-5.179358337	-5.327500468	6.42E-07	6.99E-07	6.17E-07	6.80E-07	9.00E-07
14538.04111	-6.101574314	-5.831542087	-5.221729392	-5.383953235	-5.387089857	6.60E-07	6.89E-07	6.34E-07	5.72E-07	7.17E-07
14538.84315	-6.101407909	-5.922407012	-5.20013426	-5.42527097	-5.506257344	6.65E-07	6.47E-07	6.22E-07	6.45E-07	8.29E-07
14539.64513	-6.059396243	-5.914285685	-5.189890069	-5.323706715	-5.42553534	6.43E-07	6.69E-07	6.99E-07	6.07E-07	6.91E-07
14540.44721	-6.045331639	-5.918320399	-5.131451766	-5.187922356	-5.349173864	6.21E-07	5.97E-07	6.90E-07	6.12E-07	7.23E-07
14541.24922	-6.076251632	-5.92150773	-5.263326945	-5.287001701	-5.294098996	6.41E-07	6.59E-07	6.38E-07	6.16E-07	8.37E-07
14542.05132	-6.123648451	-5.873030378	-5.247185049	-5.300815861	-5.246664548	6.65E-07	7.34E-07	6.42E-07	6.69E-07	7.23E-07
14542.85335	-6.12354449	-5.810487518	-5.144122199	-5.363816437	-5.317879284	6.29E-07	6.55E-07	6.28E-07	6.92E-07	6.47E-07
14543.65532	-6.184943975	-5.874970666	-5.159930732	-5.356789322	-5.446717507	6.42E-07	6.42E-07	6.54E-07	5.61E-07	6.59E-07
14544.45734	-6.044539889	-5.839407834	-5.275438361	-5.264255164	-5.310777188	6.77E-07	6.30E-07	6.66E-07	6.81E-07	8.13E-07
14545.25938	-6.12261441	-5.807249511	-5.041344851	-5.280281242	-5.270523534	6.82E-07	6.87E-07	6.30E-07	6.00E-07	7.57E-07
14546.06151	-6.113557189	-5.927255755	-5.173216043	-5.33594235	-5.287805616	6.47E-07	6.57E-07	6.18E-07	6.64E-07	6.45E-07
14546.86357	-6.117223044	-5.869684813	-5.213421499	-5.440921643	-5.346938377	6.59E-07	6.83E-07	6.44E-07	6.32E-07	8.28E-07
14547.66554	-6.092053308	-5.797442625	-5.189867517	-5.392966477	-5.428074869	6.57E-07	6.41E-07	6.73E-07	6.14E-07	6.44E-07
14548.4677	-6.164069055	-5.918530025	-5.182701591	-5.354194823	-5.572630947	6.25E-07	6.40E-07	6.29E-07	5.87E-07	6.77E-07
14549.26976	-6.055730011	-5.874876172	-5.217240391	-5.184061161	-5.347817382	6.71E-07	6.58E-07	6.14E-07	6.83E-07	7.59E-07
14550.07188	-6.099846792	-5.814307052	-5.265120571	-5.304707255	-5.302835468	6.62E-07	6.78E-07	6.30E-07	6.02E-07	8.45E-07
14550.87388	-6.191710272	-5.86029586	-5.112806555	-5.342657288	-5.369227062	6.40E-07	6.38E-07	6.14E-07	6.23E-07	7.22E-07
14551.67588	-6.015576757	-5.931780288	-5.094379255	-5.386502348	-5.247959649	6.79E-07	6.80E-07	6.71E-07	5.54E-07	7.14E-07
14552.47796	-6.055070018	-5.868392295	-5.237174121	-5.453853832	-5.439480458	6.69E-07	6.90E-07	6.88E-07	5.91E-07	7.09E-07
14553.27999	-6.047349072	-5.883834866	-5.274002271	-5.491472548	-5.294862446	6.14E-07	6.61E-07	6.73E-07	4.93E-07	7.40E-07
14554.08198	-6.067942296	-5.895673792	-5.239216805	-5.355751484	-5.428783497	6.80E-07	6.71E-07	7.21E-07	4.98E-07	7.20E-07
14554.88405	-6.09120161	-5.808047231	-5.200690272	-5.315075159	-5.278396921	6.55E-07	6.40E-07	6.40E-07	6.91E-07	7.61E-07
14555.68609	-6.012770067	-5.826170193	-5.129318167	-5.354172489	-5.593567173	6.63E-07	6.85E-07	6.29E-07	7.08E-07	6.63E-07
14556.48806	-6.074575309	-5.920958094	-5.14375097	-5.368042129	-5.372253933	6.22E-07	6.98E-07	5.46E-07	7.44E-07	6.68E-07
14557.29014	-6.069885554	-5.896941235	-5.108449715	-5.334705811	-5.107433303	6.74E-07	7.16E-07	7.11E-07	6.44E-07	7.90E-07
14558.09215	-6.05293305	-5.80873749	-5.28513375	-5.418043305	-5.184632696	6.30E-07	7.17E-07	5.67E-07	5.73E-07	8.78E-07
14558.8942	-6.084476538	-5.895199551	-5.139159535	-5.428527258	-5.383808293	6.43E-07	6.64E-07	6.57E-07	6.73E-07	7.33E-07
14559.69623	-6.093436519	-5.823928012	-5.117031258	-5.367961838	-5.294209783	6.56E-07	6.48E-07	6.97E-07	6.83E-07	8.02E-07
14560.49817	-6.111709553	-5.791023246	-5.182852539	-5.39954907	-5.227936524	6.53E-07	6.50E-07	5.96E-07	6.03E-07	7.59E-07
14561.30017	-6.072729725	-5.890522335	-5.121187043	-5.659893752	-5.281885503	6.06E-07	6.61E-07	6.56E-07	6.13E-07	8.52E-07
14562.10224	-6.077001348	-5.850329778	-5.336432873	-5.070990541	-5.40937555	6.38E-07	6.67E-07	6.68E-07	6.41E-07	6.87E-07
14562.90419	-6.118235021	-5.876480675	-5.358139729	-5.451121402	-5.264203881	6.66E-07	6.37E-07	5.94E-07	6.70E-07	7.63E-07
14563.70627	-6.155817065	-5.771363482	-5.158325503	-5.259058423	-5.302949792	6.31E-07	6.45E-07	6.71E-07	6.52E-07	7.37E-07
14564.50831	-6.094226185	-5.786363766	-5.254815201	-5.285875446	-5.076290377	6.69E-07	6.49E-07	6.38E-07	6.01E-07	6.69E-07
14565.31031	-6.098445664	-5.841685822	-5.210826236	-5.348788295	-5.282124378	6.29E-07	5.99E-07	6.86E-07	6.19E-07	7.29E-07
14566.11231	-6.087096584	-5.895537641	-5.239905694	-5.416570706	-5.376530137	6.40E-07	6.87E-07	6.34E-07	5.65E-07	7.17E-07
14566.9143	-6.144540745	-5.904524603	-5.30141673	-5.343137159	-5.280429463	6.06E-07	6.99E-07	6.56E-07	8.00E-07	6.68E-07
14567.71647	-6.143863142	-5.853706446	-5.129544515	-5.33928592	-5.28816056	6.54E-07	6.57E-07	6.14E-07	5.98E-07	7.86E-07
14568.51857	-6.161299624	-5.879992259	-5.270582422	-5.399524256	-5.297501021	6.81E-07	6.12E-07	6.83E-07	6.31E-07	7.34E-07
14569.32061	-6.10247574	-5.829082439	-5.235436334	-5.196954799	-5.401965892	6.47E-07	6.05E-07	6.61E-07	6.69E-07	8.24E-07
14570.12276	-6.134699023	-5.917818745	-5.134292939	-5.293879946	-5.617926953	6.47E-07	6.42E-07	6.19E-07	6.14E-07	6.90E-07
14570.92473	-6.087118115	-5.897619692	-5.169638292	-5.082932927	-5.238007114	6.19E-07	6.70E-07	6.74E-07	6.79E-07	8.59E-07
14571.72677	-6.09266146	-5.879540449	-5.077720364	-5.253450292	-5.423579591	6.52E-07	6.63E-07	6.95E-07	6.69E-07	6.99E-07
14572.52883	-6.129997311	-5.940674261	-5.162359076	-5.266535447	-5.365199153	6.57E-07	6.03E-07	7.60E-07	7.19E-07	6.66E-07
14573.33083	-6.071734108	-5.859619889	-5.17569969	-5.394807896	-5.436472975	6.46E-07	7.17E-07	6.26E-07	6.59E-07	7.80E-07
14574.13291	-6.109658637	-5.790771569	-5.216714153	-5.389650275	-5.223866761	6.66E-07	7.11E-07	6.17E-07	5.42E-07	7.42E-07
14574.93497	-6.094391942	-5.960257612	-5.215303155	-5.371389322	-5.37385075	6.79E-07	6.43E-07	6.74E-07	6.47E-07	8.45E-07
14575.73704	-6.081022775	-5.845609298	-5.249490199	-5.310354142	-5.080691038	6.66E-07	6.72E-07	6.61E-07	6.17E-07	9.33E-07
14576.53901	-6.165336573	-5.831004214	-5.210525474	-5.197037151	-5.191604034	6.44E-07	6.55E-07	6.80E-07	5.38E-07	8.24E-07
14577.34106	-6.099644785	-5.883475699	-5.136369129	-5.070263429	-5.262843622	6.29E-07	6.15E-07	6.42E-07	7.22E-07	8.45E-07
14578.14301	-6.141524626	-5.864650375	-5.161970782	-5.239072782	-5.277849273	6.37E-07	6.60E-07	6.07E-07	6.99E-07	7.01E-07
14578.94499	-6.022744011	-5.850227554	-5.324503898	-5.356000686	-5.358958032	6.16E-07	6.79E-07	6.44E-07	6.20E-07	7.23E-07
14579.74705	-6.157738974	-5.774795423	-5.281466529	-5.553091639	-5.156326184	6.14E-07	6.94E-07	6.39E-07	6.53E-07	7.27E-07
14580.54923	-6.120760217	-5.932861097	-5.15012075	-5.351207302	-5.418957906	6.38E-07	6.59E-07	6.70E-07	6.51E-07	7.80E-07
14581.35127	-6.156586128	-5.855903569	-5.286834317	-5.438549168	-5.436633195	6.39E-07	6.15E-07	6.75E-07	5.99E-07	7.23E-07
14582.1533	-6.084887286	-5.834172899	-5.066237961	-5.176968698	-5.304920726	6.79E-07	6.65E-07	7.01E-07	6.75E-07	7.67E-07
14582.95528	-6.179954121	-5.876673142	-5.270665542	-5.207049547	-5.492694977	6.16E-07	6.69E-07	6.29E-07	6.73E-07	7.17E-07
14583.75734	-6.110553072	-5.848031448	-5.032622149	-5.386600953	-5.490136082	6.58E-07	6.99E-07	6.66E-07	5.65E-07	6.68E-07
14584.55945	-6.095528389	-5.882139551	-5.10984765	-5.464388441	-5.46798187	6.35E-07	6.87E-07	6.33E-07	5.75E-07	8.33E-07
14585.36149	-6.169740142	-5.937945379	-5.031170294	-5.207265815	-5.480065875	6.78E-07	5.85E-07	6.19E-07	8.06E-07	8.08E-07
14586.16358	-6.131905497	-5.88739026	-5.075736687	-5.398261951	-5.494643433	6.66E-07	6.50E-07	7.22E-07	5.81E-07	7.12E-07
14586.96562	-6.13297375	-5.900163434	-5.108041652	-5.309829988	-5.510810647	6.88E-07	5.97E-07	6.07E-07	5.80E-07	8.00E-07
14587.76772	-6.103537173	-5.836929958	-5.227480783	-5.377359245	-5.37852292	6.34E-07	6.52E-07	6.49E-07	6.16E-07	7.81E-07
14588.56979	-6.141932767	-5.886592641	-5.076067281	-5.333594279	-5.312691449	6.49E-07	6.51E-07	6.87E-07	6.16E-07	7.04E-07
14589.37171	-6.040707429	-5.937909943	-5.04839268	-5.244984381	-5.323446647	6.28E-07	6.58E-07	6.50E-07	6.68E-07	7.59E-07
14590.17373	-6.099767984	-5.886151901	-5.240566262	-5.14090396	-5.422694812	6.64E-07	6.78E-07	6.53E-07	6.75E-07	7.41E-07
14590.97577	-6.107820618	-5.756114786	-5.212004398	-5.366409935	-5.376854034	5.88E-07	6.64E-07	6.68E-07	6.99E-07	8.15E-07
14591.77771	-6.127975637	-5.929128169	-5.133535993	-5.277221618	-5.316488836	6.55E-07	6.52E-07	7.17E-07	6.84E-07	7.84E-07
14592.5798	-6.020044204	-5.877548214	-5.185476191	-5.468664172	-5.317084835	6.44E-07	6.91E-07	6.50E-07	4.63E-07	6.89E-07
14593.38189	-6.123588602	-5.723373596	-5.197729013	-5.321518714	-5.270966244	6.67E-07	6.50E-07	6.61E-07	6.15E-07	7.82E-07
14594.18392	-6.024947443	-5.875529595	-5.242276777	-5.290332039	-5.349905899	6.96E-07	6.54E-07	6.45E-07	6.57E-07	7.05E-07
14594.986	-6.164174791	-5.836459848	-5.113568757	-5.348601749	-5.454920699	6.56E-07	6.87E-07	6.63E-07	6.55E-07	8.46E-07
14595.78797	-6.103511274	-5.851755869	-5.231897852	-5.280994385	-5.144823102	6.28E-07	6.57E-07	6.16E-07	6.00E-07	8.38E-07
14596.58998	-6.070951186	-5.792163597	-5.312860241	-5.23813224	-5.371903516	6.54E-07	6.59E-07	6.50E-07	6.82E-07	7.51E-07
14597.39194	-6.119833025	-5.794870467	-5.203379918	-5.180209027	-5.257543059	6.35E-07	6.90E-07	6.79E-07	6.49E-07	7.69E-07
14598.19407	-6.152831192	-5.905339434	-5.065042139	-5.381334663	-5.398556352	6.65E-07	6.61E-07	7.52E-07	5.81E-07	7.07E-07
14598.99615	-6.073756303	-5.860265464	-5.196258766	-5.373096072	-5.195512981	6.11E-07	5.97E-07	6.90E-07	6.46E-07	7.70E-07
14599.79811	-6.095157329	-5.903590602	-5.228065104	-5.438463919	-5.519631505	6.24E-07	6.47E-07	7.08E-07	5.92E-07	6.56E-07
14600.60012	-6.058324911	-5.699925689	-5.232492896	-5.190317703	-5.229275027	6.62E-07	7.09E-07	6.98E-07	6.70E-07	7.70E-07
14601.4021	-6.230591203	-5.791105841	-5.188533954	-5.242348532	-5.531175939	6.43E-07	7.15E-07	6.78E-07	5.24E-07	8.68E-07
14602.20415	-6.14893184	-5.867112473	-5.20821472	-5.152338646	-5.437343983	6.40E-07	6.46E-07	6.34E-07	6.65E-07	7.32E-07
14603.0063	-6.114502493	-5.749324869	-5.140952137	-5.351470131	-5.319746453	6.76E-07	6.47E-07	6.75E-07	5.47E-07	6.87E-07
14603.80829	-6.149161952	-5.801356242	-5.150261068	-5.238772355	-5.30501225	6.39E-07	6.74E-07	6.34E-07	6.08E-07	7.86E-07
14604.61037	-6.136330656	-5.866714266	-5.153757344	-5.333499003	-5.12430516	6.47E-07	6.83E-07	5.97E-07	5.57E-07	7.28E-07
14605.41235	-6.01534965	-5.844427057	-5.12960086	-5.529209798	-5.461615413	6.19E-07	7.11E-07	6.53E-07	6.59E-07	7.65E-07
14606.21443	-6.110653054	-5.867302488	-5.23794176	-5.220809501	-5.366169317	6.51E-07	6.05E-07	6.25E-07	6.36E-07	7.66E-07
14607.01652	-6.062285833	-5.896629112	-5.263777523	-5.285391713	-5.266189455	6.40E-07	6.33E-07	6.24E-07	6.16E-07	8.32E-07
14607.81855	-6.150759943	-5.798174394	-5.177541674	-5.271749937	-5.492309018	6.84E-07	6.99E-07	6.73E-07	5.76E-07	7.98E-07
14608.62061	-6.014070744	-5.825782407	-5.302198742	-5.382737192	-5.416350898	6.50E-07	5.98E-07	6.84E-07	6.13E-07	6.94E-07
14609.42263	-6.074786422	-5.799420874	-5.332986088	-5.467692926	-5.289710449	6.97E-07	6.33E-07	6.53E-07	6.24E-07	8.74E-07
14610.2247	-6.076414688	-5.859491601	-5.317910507	-5.404389307	-5.391875155	6.43E-07	6.27E-07	6.67E-07	6.24E-07	7.14E-07
14611.02677	-6.051044521	-5.905303037	-5.229117547	-5.275716275	-5.441077767	6.54E-07	6.43E-07	6.42E-07	6.32E-07	7.04E-07
14611.82883	-6.104900545	-5.763009374	-5.350493243	-5.277236387	-5.433441522	6.05E-07	6.93E-07	6.52E-07	7.04E-07	8.53E-07
14612.63088	-6.092063522	-5.865003046	-5.169455407	-5.298283861	-5.250133682	6.62E-07	7.14E-07	6.90E-07	5.80E-07	7.12E-07
14613.43285	-6.115440684	-5.896396632	-5.320196619	-5.344251887	-5.380731442	6.36E-07	6.41E-07	6.41E-07	6.74E-07	6.80E-07
14614.2349	-6.123560195	-5.947191746	-5.283783294	-5.468155037	-5.230952295	6.38E-07	6.24E-07	6.76E-07	6.31E-07	7.36E-07
14615.03697	-6.107801025	-5.837193565	-5.212983131	-5.441648503	-5.258059915	6.59E-07	6.44E-07	6.02E-07	6.65E-07	7.70E-07
14615.83899	-6.086311486	-5.911178514	-5.111487903	-5.291820671	-5.151016345	6.52E-07	6.01E-07	7.15E-07	6.70E-07	6.99E-07
14616.6411	-6.163304354	-5.891847792	-5.283114329	-5.2445456	-5.401957625	6.41E-07	7.18E-07	6.00E-07	6.17E-07	7.23E-07
14617.4432	-6.09424173	-5.915277808	-5.314005277	-5.286607057	-5.258847242	6.76E-07	6.33E-07	5.92E-07	7.53E-07	7.16E-07
14618.24521	-6.177537851	-5.746970454	-5.172514026	-5.363927504	-5.061855944	6.87E-07	6.79E-07	6.21E-07	5.35E-07	6.96E-07
14619.04729	-6.109749176	-5.88441399	-5.060872576	-5.289122748	-5.243720508	6.46E-07	6.43E-07	6.55E-07	5.84E-07	7.58E-07
14619.84921	-6.063615297	-5.866430056	-5.112532378	-5.423519884	-5.405149377	6.79E-07	6.47E-07	7.04E-07	5.84E-07	7.40E-07
14620.65129	-6.075505101	-5.923422851	-5.136736105	-5.164009598	-5.371963141	6.31E-07	6.65E-07	6.20E-07	5.72E-07	7.07E-07
14621.45333	-6.100039802	-5.922104239	-5.141613318	-5.179780152	-5.147558151	6.73E-07	6.50E-07	6.68E-07	6.04E-07	7.78E-07
14622.2553	-6.10805812	-5.821168479	-5.204663534	-5.34928925	-5.021173705	6.45E-07	7.01E-07	6.33E-07	6.84E-07	7.61E-07
14623.05735	-6.139743707	-5.955693197	-5.074549929	-5.31591249	-5.201925384	6.54E-07	6.71E-07	6.53E-07	6.61E-07	8.27E-07
14623.85942	-6.060275522	-5.8400543	-5.280666389	-5.331387523	-5.378543997	6.63E-07	7.13E-07	6.92E-07	6.85E-07	7.26E-07
14624.66142	-6.131110711	-5.854343127	-5.284019048	-5.346368187	-5.441563838	6.63E-07	6.85E-07	6.75E-07	6.63E-07	7.20E-07
