Time,fundamental_dis,fundamental_freq,3rd_dis,3rd_freq,5th_dis,5th_freq,7th_dis,7th_freq,9th_dis,9th_freq,11th_dis,11th_freq,13th_dis,13th_freq,Temp
5.0498893,0.0002184092329742,4959912.38082739,0.0001135796831807,14862349.0679993,8.96372518194213e-05,24767498.7329036,7.8746686894696e-05,34671188.3605499,7.38265299435395e-05,44575609.5194083,6.9833391682207e-05,54479672.5584885,6.73078924893736e-05,64384388.8844427,24.9879322052002
10.1063698,0.000218498971373,4959912.50501441,0.0001135948391582,14862348.2149842,8.95027666805938e-05,24767499.3206627,7.86298723302499e-05,34671185.4987048,7.41805596396964e-05,44575601.0703629,6.98760440079191e-05,54479675.6989352,6.73268332042497e-05,64384388.4856414,24.9790019989014
15.1564665,0.0002185319621898,4959912.76810444,0.0001136087740018,14862348.080199,8.94839095315307e-05,24767498.5610383,7.87658038168255e-05,34671186.8855958,7.40498399648644e-05,44575601.6980115,6.96668092263509e-05,54479674.9766284,6.71186800412388e-05,64384372.2752698,24.9963245391846
20.2065839,0.0002184189630987,4959912.90471415,0.0001136370930681,14862348.1725905,8.94600915827339e-05,24767498.299736,7.87345261902912e-05,34671188.851451,7.35359401681888e-05,44575599.8468668,6.97097863062036e-05,54479675.6634021,6.71910434232716e-05,64384390.9263615,25.010383605957
25.2638714,0.0002184088275787,4959912.67709112,0.0001137297138913,14862348.6211552,8.94772061395718e-05,24767497.4137202,7.86502748908919e-05,34671189.5448679,7.39629453972935e-05,44575598.0007421,6.97618804056092e-05,54479673.9411028,6.77080940148906e-05,64384384.4390966,24.9906272888184
30.3039047,0.00021840605567,4959912.83723484,0.0001135973062693,14862349.7202183,8.94879765286099e-05,24767497.5520273,7.87059884463452e-05,34671189.4899335,7.36947382701587e-05,44575604.8072192,6.98285575581187e-05,54479673.0521773,6.74325365317892e-05,64384388.5082236,24.9957275390625
35.3482712,0.0002183814719452,4959912.55249143,0.0001135989493208,14862349.0099915,8.95924672235163e-05,24767497.1923729,7.86876753922187e-05,34671187.8954223,7.33067058794608e-05,44575605.1894787,6.97173897138776e-05,54479671.2259844,6.73503401545594e-05,64384388.3030707,24.9934349060059
40.4035871,0.0002184033206554,4959912.37753374,0.0001136187289378,14862348.743774,8.95823694296365e-05,24767499.2766705,7.86799308923994e-05,34671187.1974457,7.3614814658345e-05,44575598.849766,6.9844314335662e-05,54479670.4888623,6.75077110559214e-05,64384388.0577591,24.9940280914307
45.4526,0.0002185618863926,4959912.47942314,0.0001135929679845,14862348.3448887,8.94742086884512e-05,24767499.2365842,7.86285592157937e-05,34671184.5967385,7.39219116053945e-05,44575600.6254696,6.97651383894255e-05,54479675.2143816,6.73615547234146e-05,64384384.2317418,25.0059204101563
50.5009531,0.0002184831042295,4959912.70095356,0.0001136150904974,14862347.7750814,8.95028291313716e-05,24767498.8301394,7.87488555503543e-05,34671187.1146153,7.36320655385698e-05,44575597.1858098,6.97985928323419e-05,54479673.1322589,6.75286806779497e-05,64384376.5351482,24.9926891326904
55.5362004,0.0002183874747367,4959912.64715564,0.0001136216367278,14862347.332308,8.94922895077165e-05,24767497.9167049,7.87312275315963e-05,34671188.9071574,7.3727344669932e-05,44575600.4892077,6.97008248308599e-05,54479672.300347,6.71624792299588e-05,64384386.5403727,25.0053272247314
60.5932477,0.0002184425894744,4959912.62453686,0.0001137583595324,14862348.2903492,8.94781460795036e-05,24767497.1673572,7.86460424395624e-05,34671186.9303193,7.37494316536302e-05,44575598.6504344,6.98102892825433e-05,54479671.2267232,6.75419915913129e-05,64384385.6116496,25.0010604858398
65.6433925,0.0002184573437147,4959912.32319437,0.0001136050260515,14862348.7221348,8.94884650554936e-05,24767496.4408008,7.86359742729719e-05,34671187.1661557,7.34638914277586e-05,44575602.2443585,6.97817551655724e-05,54479669.0632819,6.73231050177014e-05,64384382.0757151,24.9809226989746
