Time,fundamental_dis,fundamental_freq,3rd_dis,3rd_freq,5th_dis,5th_freq,7th_dis,7th_freq,9th_dis,9th_freq,11th_dis,11th_freq,13th_dis,13th_freq,Temp
5.0547253,0.0001868559015195,4960883.12688336,9.94004691703089e-05,14866043.430629,7.84802331494313e-05,24773492.8356238,6.71615709135016e-05,34679595.0031275,6.16289441997155e-05,44586432.3568918,5.70969345887775e-05,54493088.2224014,5.47951188740496e-05,64400338.3194512,25.0044460296631
10.1134594,0.0001868664879886,4960883.24994308,9.93800167087298e-05,14866043.6608311,7.84635914058648e-05,24773492.6502937,6.71946791639208e-05,34679595.2268706,6.15946118518218e-05,44586432.2421674,5.70184969815004e-05,54493088.9246977,5.47817120894557e-05,64400341.3122723,25.0044898986816
15.1649822,0.0001868543008623,4960883.20519675,9.93479953633966e-05,14866043.7027122,7.84985944869113e-05,24773492.7293111,6.72542640346662e-05,34679595.3777736,6.15674799139163e-05,44586431.6893324,5.71270396639651e-05,54493087.1334809,5.46960731619776e-05,64400341.2094798,24.9996700286865
20.2122109,0.0001868872498162,4960883.2902702,9.93775791774396e-05,14866043.8479236,7.84793509435084e-05,24773493.0336918,6.71461823291228e-05,34679595.0086483,6.16317628287731e-05,44586430.1332315,5.7051023311657e-05,54493089.3137029,5.48494415756775e-05,64400342.8269329,24.9957237243652
25.2673595,0.0001868440685098,4960883.19121549,9.93637825114313e-05,14866043.6089158,7.84918751444354e-05,24773492.9311503,6.72203126770438e-05,34679594.4564133,6.142619038349e-05,44586432.6174056,5.70607980852029e-05,54493088.0793819,5.45285340427709e-05,64400342.5568655,24.9997463226318
30.314913,0.0001867741025297,4960883.2448603,9.93842420525419e-05,14866043.6410763,7.84622279571481e-05,24773493.1212691,6.71056035272125e-05,34679595.3041317,6.16078609303996e-05,44586434.8144103,5.70285565714752e-05,54493087.6971166,5.48576495705052e-05,64400339.3195364,25.0061283111572
35.3592744,0.0001868670875247,4960883.25102941,9.93866133409312e-05,14866043.6162696,7.84814390420408e-05,24773492.8577328,6.72296545339074e-05,34679594.1780258,6.15669488627953e-05,44586431.4807687,5.7078279421172e-05,54493088.4618061,5.44942580957281e-05,64400345.1954165,25.0031051635742
40.3965026,0.000186876000683,4960883.23189442,9.93829617408848e-05,14866043.6556105,7.84644712730275e-05,24773492.6879577,6.71461131326976e-05,34679595.0336245,6.16295099318922e-05,44586431.1914169,5.70978711827218e-05,54493087.2771692,5.4769362017517e-05,64400339.5681366,24.9974479675293
45.4340687,0.0001868033734847,4960883.25721823,9.93599441014067e-05,14866043.6238752,7.84756477246244e-05,24773493.0245332,6.72164240204539e-05,34679594.4311971,6.15655910361488e-05,44586431.4314142,5.70791833430482e-05,54493086.6172748,5.47536696893246e-05,64400342.5612021,25.0115432739258
50.4920809,0.0001868455117696,4960883.23455666,9.93608284192225e-05,14866043.6699776,7.84525819892108e-05,24773492.9765058,6.7195941521679e-05,34679595.1144648,6.15875937051405e-05,44586431.2880495,5.70365096219922e-05,54493088.1703372,5.46957139853029e-05,64400342.8365763,24.9938831329346
55.5391659,0.0001868371926161,4960883.27317308,9.93586503148568e-05,14866043.5747409,7.84742931391549e-05,24773492.8917567,6.72092013816413e-05,34679595.8071502,6.15235261487035e-05,44586433.4693356,5.70708853561377e-05,54493085.9876537,5.48148350087733e-05,64400341.2751042,25.0019969940186
60.5940703,0.0001869050495119,4960883.15421796,9.93581429051521e-05,14866043.5526999,7.84736436892961e-05,24773493.0082495,6.72334578751279e-05,34679594.3779618,6.15012353476259e-05,44586431.706579,5.70870688438107e-05,54493087.462176,5.47287104933485e-05,64400342.6098217,24.9897079467773
65.6397912,0.0001868524351067,4960883.27455334,9.93683324731839e-05,14866043.5868839,7.85046806684679e-05,24773492.8645616,6.71492881686827e-05,34679595.3822254,6.15635905081801e-05,44586433.5328939,5.70005301165014e-05,54493086.5613067,5.47855878631315e-05,64400337.9848267,25.0201454162598
70.6892026,0.0001868564434963,4960883.21577867,9.93729418465734e-05,14866043.5091614,7.84646994455822e-05,24773492.7289115,6.72090275691564e-05,34679594.0589002,6.16873992504499e-05,44586429.3720656,5.70419651951493e-05,54493087.6720481,5.45093870170212e-05,64400342.3086984,25.0120677947998
75.7404963,0.0001868413343919,4960883.14046318,9.93720322189889e-05,14866043.3060925,7.84861537016108e-05,24773492.68209,6.72144047920165e-05,34679594.1089251,6.1456612570398e-05,44586430.0631488,5.70767792495088e-05,54493087.6543881,5.48082022958214e-05,64400337.882723,24.9928531646729
80.7857952,0.0001868851953799,4960883.19008812,9.93810882288608e-05,14866043.3745564,7.84850834749593e-05,24773492.7244271,6.72460411910322e-05,34679594.3873662,6.16419939894507e-05,44586431.8985495,5.70507351820069e-05,54493088.0811721,5.48254777897575e-05,64400341.0557397,25.0040187835693
85.8426816,0.0001868329315568,4960883.19184121,9.93559361585434e-05,14866043.4471355,7.84589646562665e-05,24773492.5877745,6.71892411735851e-05,34679594.5237546,6.15979810894912e-05,44586430.9501835,5.70817726263743e-05,54493086.0652169,5.47526915767365e-05,64400340.3038992,25.0014152526855
90.8841714,0.0001868701412945,4960883.06217757,9.93738591584811e-05,14866043.4500219,7.84808661802091e-05,24773492.5422745,6.71920076787519e-05,34679595.334434,6.15187891594831e-05,44586432.176083,5.70120192585435e-05,54493087.0733303,5.48440996203171e-05,64400341.1514441,24.9975967407227
