Time,fundamental_dis,fundamental_freq,3rd_dis,3rd_freq,5th_dis,5th_freq,7th_dis,7th_freq,9th_dis,9th_freq,11th_dis,11th_freq,13th_dis,13th_freq,Temp
5.0394531,0.0003392469637988,4998264.61037438,0.0001637921993706,14973129.3575738,0.0001282295398315,24948804.4946772,0.0001057833178498,34922997.2349481,9.55414811341489e-05,44898696.6290236,8.48874217468327e-05,54874430.11496,,64851584.6511435,24.9955368041992
10.09946,0.0003393102883058,4998264.561348,0.0001637909455173,14973129.2755096,0.0001280940991947,24948804.7308071,0.0001057910360214,34922996.9655881,9.54897195881733e-05,44898693.8317882,8.51994073820162e-05,54874431.8987001,,64851566.6177969,24.9887428283691
15.1336543,0.000339218379235,4998264.53796149,0.0001638392669989,14973129.5009152,0.0001282333618661,24948805.6412237,0.000105888319838,34922996.3794598,9.56875524886149e-05,44898693.7908008,8.51021257431306e-05,54874432.3321692,,64851530.105316,25.0006809234619
20.1770626,0.0003392513829905,4998264.57410784,0.000163778704245,14973129.561461,0.0001282403775516,24948804.3287722,0.0001058440505298,34922996.2774325,9.56528350320831e-05,44898693.1238324,8.48385741889884e-05,54874431.5687465,,64851530.0321546,25.0005416870117
25.2081152,0.0003392218737222,4998264.61651528,0.0001638486482784,14973129.31103,0.0001281706238425,24948804.3102081,0.0001059246347987,34922997.9609232,9.55321109650718e-05,44898696.8974839,8.51675257542283e-05,54874426.5376608,,64851607.3607034,24.9998054504395
30.2486653,0.0003392949281368,4998264.73653511,0.0001638471627874,14973129.3916725,0.0001280672186744,24948804.8585239,0.0001056890685787,34922997.7446821,9.55712629670017e-05,44898693.6824884,8.49675485759765e-05,54874430.1966274,,64851527.1454792,24.9975757598877
35.2929509,0.0003391977886584,4998264.5719428,0.0001639034418633,14973129.1294904,0.0001281367793557,24948804.9548829,0.0001058177314612,34922995.8690248,9.5810452320519e-05,44898697.9707443,8.49409116835287e-05,54874430.3338824,,64851562.3489166,25.01828956604
40.336864,0.0003391956641481,4998264.56196135,0.0001637715823568,14973129.337155,0.00012810460276,24948804.7392383,0.000105650323148,34922998.2009163,9.52606492500685e-05,44898693.6611273,8.49352423345854e-05,54874426.9163582,,64851556.3407156,24.9945201873779
45.380006,0.0003392990860115,4998264.55736118,0.0001638053918701,14973129.185193,0.0001281808785372,24948805.0180591,0.0001058371945322,34922995.5471142,9.57141469710828e-05,44898693.1111409,8.50820767156623e-05,54874431.5812974,,64851577.0500475,24.9998397827148
50.4213001,0.0003393178235809,4998264.7288007,0.0001637904563587,14973129.1787411,0.0001281413544368,24948804.9764518,0.000105809068976,34922996.7318532,9.58030364295995e-05,44898692.2117227,8.50815690759054e-05,54874432.7464434,,64851539.7569426,25.0064964294434
