Time,fundamental_freq,fundamental_dis,3rd_freq,3rd_dis,5th_freq,5th_dis,7th_freq,7th_dis,9th_freq,9th_dis,11th_freq,11th_dis,13th_freq,13th_dis,Temp_Time,Temp
12.82293,-0.19242,-0.0093,0.05463,-0.01431,0.10665,-0.05682,0.09104,-0.00912,-0.03857,0.08821,-0.1177,0.02347,-0.06819,-0.01733,33.92309,25.05408
13.2097,-0.07361,0.03432,0.000632962,0.000670716,0.14275,-0.06607,0.04702,0.02811,-0.08555,0.03573,-0.1201,0.06937,-0.27387,-0.03798,34.937,25.05428
13.59827,-0.18852,-0.00977,0.14645,-0.0367,0.16347,-0.03571,-0.01398,0.0021,-0.09852,0.03856,-0.02218,-0.01002,-0.15001,-0.01909,35.95097,25.05438
13.99476,-0.11563,0.01551,-0.03047,-0.000827566,0.13867,-0.00921,0.19454,0.01682,0.08293,0.04079,-0.11388,0.03198,-0.197,0.01467,36.96497,25.05418
14.38437,-0.06297,0.02446,-0.02051,-0.01344,0.13944,-0.03019,0.09776,0.00801,0.10828,0.01382,-0.0702,0.01905,-0.35876,0.07072,37.97991,25.05418
14.77444,-0.18839,0.03918,-0.005,-0.00192,0.0657,-0.03108,0.1156,0.023,0.11301,0.07875,-0.06897,0.09734,-0.20746,-0.03285,38.99392,25.05418
15.16194,-0.20048,0.02546,-0.01267,-0.01822,0.06599,-0.04852,0.09325,0.00759,0.14994,0.08309,-0.11812,0.0417,-0.09783,0.05118,40.00784,25.05398
15.55156,-0.2601,0.03094,-0.03897,-0.02895,-0.05062,-0.03134,-0.04096,0.02868,-0.09053,0.07448,-0.22248,0.02766,-0.17467,-0.05211,41.02182,25.05378
15.94077,-0.34349,0.00939,-0.05576,-0.02395,0.15329,-0.05291,0.08679,0.03689,0.07899,0.08059,-0.12531,0.03381,-0.10924,0.14383,42.03576,25.05388
16.32665,-0.25068,0.00974,0.01781,0.01265,0.04961,-0.09656,0.07079,0.01837,0.08102,0.05152,-0.27311,0.01218,-0.22707,0.02092,43.04974,25.05388
16.71626,-0.27197,-0.00225,0.03755,0.0151,0.09015,0.02574,0.18205,0.01395,-0.03669,0.07243,-0.08971,-0.00331,-0.18753,-0.00271,44.06371,25.05368
17.10285,-0.32436,0.000546698,0.08357,-0.02779,0.09368,-0.00429,-0.03584,0.02936,0.1763,0.01979,-0.3212,0.04156,-0.13683,0.09781,45.07765,25.05358
17.49083,-0.25786,-0.00376,0.02594,-0.00987,0.05926,-0.00693,0.11271,0.00703,0.06858,0.00937,-0.11663,0.04347,-0.13203,-0.01021,46.09159,25.05338
17.88068,-0.21796,-0.03471,-0.0466,0.02215,0.12275,0.0078,-0.02161,-0.00799,0.04723,-0.03705,-0.162,0.01335,0.09718,0.00111,47.1056,25.05338
18.26866,-0.20434,-0.01508,0.01473,-0.01476,0.19015,-0.05196,0.06295,-0.000540344,0.09606,0.0158,-0.13938,0.03241,0.08757,0.00399,48.12054,25.05338
18.65692,-0.20056,-0.01349,0.06469,-0.02073,0.14365,-0.03287,0.05571,-0.02521,0.11732,0.04761,0.02697,0.06248,-0.27193,-0.03013,49.13452,25.05348
19.0421,-0.30855,0.0203,0.00649,-0.00803,0.10702,-0.04353,0.03445,0.02557,0.07104,-0.0109,-0.21636,-0.04117,-0.23961,-0.04659,50.14847,25.05348
19.42539,-0.27302,0.03308,-0.00171,-0.0288,0.11717,0.05023,-0.01224,-0.00117,0.08916,0.04234,0.06573,0.02646,-0.10946,-0.01309,51.16242,25.05308
19.81438,-0.3114,-0.000574915,0.0159,-0.01998,-0.0259,-0.02691,0.19302,-0.0101,0.06103,-0.00667,0.04288,0.01349,-0.21706,0.01941,52.17639,25.05308
20.20386,-0.30259,0.02336,-0.00271,0.00837,0.06125,-0.01972,-0.01904,-0.04562,0.19328,0.01522,-0.09863,0.11648,-0.5442,0.08428,53.19034,25.05288
20.59376,-0.28253,0.02336,-0.07657,-0.00645,0.03359,-0.02505,0.0638,0.03083,0.03512,0.02984,-0.0336,0.000650527,-0.09702,-0.00448,54.20429,25.05298
20.97905,-0.19303,0.01646,0.03924,-0.01683,0.12656,-0.03256,0.22791,-0.000841678,-0.00622,0.000298039,-0.08518,0.03157,0.02509,-0.01429,55.21826,25.05298
21.37043,-0.20667,-0.051,0.03838,0.03484,0.10388,-0.05043,0.01412,-0.00733,0.22699,0.01283,-0.04363,0.02608,-0.44157,0.02686,56.23224,25.05288
21.75745,-0.30311,0.02494,0.05307,-0.01577,0.17675,-0.02234,-0.02498,-0.0052,-0.05114,0.03516,-0.1666,0.06539,-0.34095,0.0455,57.24619,25.05288
22.14832,-0.18983,0.00509,-0.02601,0.00116,0.17527,-0.09682,0.01011,-0.04011,0.14038,-0.02657,-0.06027,0.07096,-0.03961,0.09033,58.26113,25.05308
22.53635,-0.28136,-0.00167,-0.0138,-0.01971,-0.03888,-0.01526,0.08584,0.0161,-0.03808,0.01303,-0.16943,-0.0238,-0.21424,-0.07137,59.27511,25.05328
22.92523,-0.19283,0.02493,-0.05648,-0.01842,0.1069,0.00763,-0.05334,-0.00127,-0.11046,0.04176,-0.21307,0.06289,-0.04729,0.00935,60.28903,25.05348
23.31244,-0.17743,-0.02902,0.01413,0.00866,-0.00348,-0.02175,0.01988,-0.01599,0.07989,0.05811,-0.04367,0.04511,-0.13437,-0.04474,61.30302,25.05308
23.70389,-0.22878,0.04243,0.0236,0.00131,0.11164,-0.000198088,0.1436,-0.00502,-0.01028,-0.02548,-0.12692,0.03792,-0.063,-0.04704,62.317,25.05308
24.09584,-0.33729,0.01943,0.08686,-0.02313,0.08575,-0.03424,0.05433,0.000347466,0.02754,-0.00759,-0.05323,0.00952,-0.1457,-0.03022,63.33093,25.05328
24.4872,-0.24024,-0.01606,-0.02536,-0.01095,0.19483,0.02813,0.0496,0.01068,0.08213,-0.03002,-0.29452,-0.00945,-0.1849,-0.06709,64.34491,25.05348
24.87768,-0.31402,-0.00232,-0.03377,0.03271,0.17441,-0.03326,-0.02327,0.02582,0.07795,0.0253,-0.09092,-0.03629,-0.28222,-0.01402,65.35885,25.05338
25.27092,-0.24328,-0.00323,-0.02372,-0.03897,0.02605,-0.0052,-0.01153,0.05474,0.000450061,0.06502,-0.00998,-0.01293,-0.51719,-0.000264441,66.37283,25.05338
25.66727,-0.37082,0.02306,0.02636,-0.04086,0.0678,-0.08304,0.05048,0.00476,0.00267,0.01793,-0.14259,0.01709,-0.15271,-0.01258,67.38782,25.05308
26.06123,-0.46819,0.04366,0.03572,0.00386,0.0613,-0.02143,-0.06264,-0.00198,-0.0313,0.000136634,-0.13284,-0.01671,-0.20593,-0.01147,68.4028,25.05288
26.45311,-0.31778,0.0253,-0.0036,0.00949,0.18423,-0.07401,0.00796,-0.02042,-0.01094,0.04316,-0.11822,0.00661,-0.33107,-0.05014,69.41982,25.05318
26.84054,-0.3812,0.0052,-0.01625,-0.03153,0.10534,-0.04533,-0.13611,-0.02562,0.06489,0.03477,-0.13938,0.01454,-0.22711,0.0204,70.44035,25.05318
27.23214,-0.45787,0.03864,-0.02283,-0.01132,0.0534,-0.01958,0.00271,-0.00129,0.12959,0.05861,-0.16431,0.02626,-0.00783,-0.09921,71.46348,25.05298
27.61924,-0.3448,0.00423,0.03279,-0.00242,0.18723,-0.05643,0.03365,-0.05645,0.06507,0.06892,0.06139,0.05593,0.06007,0.07222,72.45861,25.05308
28.00773,-0.48793,0.02411,-0.01056,-0.02012,0.01203,-0.01239,0.01491,0.00735,0.08024,0.00725,-0.22732,0.03034,-0.08881,0.02424,73.47258,25.05298
28.39522,-0.40929,0.05068,-0.0262,-0.02412,0.25132,-0.03494,0.01414,-0.01157,0.02169,0.04515,-0.19617,-0.00641,-0.1353,0.0498,74.48654,25.05288
28.78633,-0.35672,8.97701e-05,0.06977,-0.03666,0.1316,0.03973,-0.01599,0.00602,0.00919,0.06963,-0.14008,0.04857,-0.13679,0.01455,75.50049,25.05318
29.16633,-0.38971,0.0048,0.04712,0.01077,0.21638,-0.01902,-0.06628,0.0084,-0.12936,-0.0122,-0.11074,0.01082,-0.09649,0.01252,76.51446,25.05338
29.55538,-0.35787,0.01262,-0.02451,0.01914,0.08816,-0.01485,-0.10374,-0.00796,-0.05642,0.03519,-0.11952,0.0241,-0.21535,0.04467,77.52844,25.05348
29.94414,-0.39554,0.02628,0.03627,-0.00688,0.11314,-0.02384,-0.11318,-0.06984,0.02611,-0.04973,-0.19157,0.01203,0.000369048,0.01411,78.5434,25.05328
