overtone,Dm_mean,Dm_std_dev,Dm_median,range_used,data_source
1,9.1688057950593134E+02,1.5704772162039657E+00,9.1687524738321076E+02,y,raw_data/Formatted-qcmi_sample.csv
3,7.8289024671201594E+02,1.5357470236072155E+00,7.8285754441078745E+02,y,raw_data/Formatted-qcmi_sample.csv
5,7.3006664817959575E+02,1.4997238464363951E+00,7.3007569903448223E+02,y,raw_data/Formatted-qcmi_sample.csv
7,7.0660244717799094E+02,2.8331866330870303E+00,7.0655832845558018E+02,y,raw_data/Formatted-qcmi_sample.csv
9,6.9547552916481811E+02,4.6978760512305637E+00,6.9490605786790445E+02,y,raw_data/Formatted-qcmi_sample.csv
11,6.7336510052485471E+02,4.2896370145633647E+00,6.7354977533275428E+02,y,raw_data/Formatted-qcmi_sample.csv
